[2020-01-07 15:06:15:257]   Start Server Succeed 
[2020-01-07 15:06:15:258]   Listen Succeed 
[2020-01-07 15:06:22:454]   Database connection success ! 
[2020-01-07 15:06:22:458]   localIP =  127.0.0.1
[2020-01-07 15:06:22:459]   ReadWorkerParam strQuery =  SELECT  table_station.ToolPara , table_station.DefectDefine, table_station.DefectScreening, table_station.Features,  table_config.NowProName,   				table_config.NowBatchName, table_config.DiskSpaceAlarm, table_config.DiskSpaceDelete ,  table_config.SysOnLine, table_config.SysLang,  				table_config.SaveOKImg, table_config.SaveNGImg, table_config.SaveCompressedOKImg, table_config.SaveCompressedNGImg, table_config.AlgorithmOnOrOff, table_config.SamplingCompressedImg,					table_config.StationDynamic FROM table_station, table_config  WHERE table_config.NowProName = table_station.ProName AND table_station.IP = '127.0.0.1'; 
[2020-01-07 15:06:22:459]   ReadFeaturePara strLang =  ITO◊¯±Í1#ITO◊¯±Í2#ITOœﬂ≥§∂»#∏ˆ ˝#æ‡¿Î
[2020-01-07 15:06:22:522]   Camera start connect...  
[2020-01-07 15:06:35:423]   Send Data #ReadyOK@ 
[2020-01-07 15:06:35:423]   Camera connect sucess 
[2020-01-07 15:06:45:417]    Recv data : #1#ITO#1912301341_A_01_0001#123123_120201715645#0@ 
[2020-01-07 15:06:45:425]   The current mode is 0 and SysOnLine is  0
[2020-01-07 15:06:56:465]   RecvID size =   1 
[2020-01-07 15:06:56:465]   ImgMat size =   1 
[2020-01-07 15:07:06:799]   Ω·π˚ºÏ≤‚…∏—°ø™ º 
[2020-01-07 15:07:06:799]    ReRecvData.info =  #1#ITO#1912301341_A_01_0001#123123_120201715645#0@
[2020-01-07 15:07:06:799]    defectInfoNum =  0
[2020-01-07 15:07:06:799]    defectInfo =  2014,1170
[2020-01-07 15:07:06:799]    defectInfo =  1787,806
[2020-01-07 15:07:06:800]    defectInfo =  429.000031
[2020-01-07 15:07:06:800]    defectInfoNum =  1
[2020-01-07 15:07:06:800]    defectInfo =  2284,1048
[2020-01-07 15:07:06:800]    defectInfo =  2133,807
[2020-01-07 15:07:06:800]    defectInfo =  284.000000
[2020-01-07 15:07:06:800]    defectInfoNum =  2
[2020-01-07 15:07:06:800]    defectInfo =  2392,839
[2020-01-07 15:07:06:800]    defectInfo =  2372,808
[2020-01-07 15:07:06:800]    defectInfo =  37.000061
[2020-01-07 15:07:06:800]    defectInfoNum =  3
[2020-01-07 15:07:06:800]    defectInfo =  2392,889
[2020-01-07 15:07:06:800]    defectInfo =  2342,808
[2020-01-07 15:07:06:800]    defectInfo =  95.000046
[2020-01-07 15:07:06:800]    defectInfoNum =  4
[2020-01-07 15:07:06:800]    defectInfo =  2392,953
[2020-01-07 15:07:06:800]    defectInfo =  2301,808
[2020-01-07 15:07:06:800]    defectInfo =  171.000061
[2020-01-07 15:07:06:800]    defectInfoNum =  5
[2020-01-07 15:07:06:800]    defectInfo =  2392,1025
[2020-01-07 15:07:06:800]    defectInfo =  2257,808
[2020-01-07 15:07:06:800]    defectInfo =  254.999954
[2020-01-07 15:07:06:800]    defectInfoNum =  6
[2020-01-07 15:07:06:800]    defectInfo =  2362,1056
[2020-01-07 15:07:06:800]    defectInfo =  2207,808
[2020-01-07 15:07:06:800]    defectInfo =  292.999969
[2020-01-07 15:07:06:800]    defectInfoNum =  7
[2020-01-07 15:07:06:800]    defectInfo =  1997,1187
